Year,Month,Trade,Product,Product_KR,Country,Cases,Quantity_kg
2023,4,Import,Frozen deer velvet,생녹용,New Zealand,4,20000
2023,5,Export,Deer velvet extract,녹용추출물,USA,1,12.8
2023,5,Import,Dried deer velvet,녹용,China,5,5400
2023,5,Import,Dried deer velvet,녹용,Hong Kong,2,2960
2023,5,Import,Dried deer velvet,녹용,New Zealand,2,4810.19
2023,5,Import,Frozen deer velvet,생녹용,New Zealand,3,11067.88
2023,6,Export,Deer velvet extract,녹용추출물,USA,2,753
2023,6,Import,Dried deer velvet,녹용,China,5,6690
2023,6,Import,Dried deer velvet,녹용,Hong Kong,2,900
2023,6,Import,Dried deer velvet,녹용,New Zealand,3,5268.2
2023,6,Import,Frozen deer velvet,생녹용,New Zealand,1,4572.14
2023,7,Import,Dried deer velvet,녹용,China,10,15790.1
2023,7,Import,Dried deer velvet,녹용,Hong Kong,1,296
2023,7,Import,Dried deer velvet,녹용,New Zealand,3,2411.9
2023,7,Import,Frozen deer velvet,생녹용,New Zealand,7,18462.05
2023,8,Export,Deer velvet extract,녹용추출물,USA,4,3555.9
2023,8,Import,Dried deer velvet,녹용,China,1,480
2023,8,Import,Dried deer velvet,녹용,New Zealand,4,7314.96
2023,8,Import,Dried deer velvet,녹용,Russia,1,830.79
2023,8,Import,Frozen deer velvet,생녹용,New Zealand,1,500
2023,9,Export,Deer velvet extract,녹용추출물,USA,3,774.255
2023,9,Import,Dried deer velvet,녹용,China,3,2763
2023,9,Import,Dried deer velvet,녹용,Kazakhstan,1,160
2023,9,Import,Dried deer velvet,녹용,New Zealand,2,4278.02
2023,9,Import,Dried deer velvet,녹용,Russia,2,1352
2023,10,Export,Deer velvet extract,녹용추출물,USA,2,3332.03
2023,10,Import,Dried deer velvet,녹용,China,6,8900
2023,10,Import,Dried deer velvet,녹용,Kazakhstan,1,488
2023,10,Import,Dried deer velvet,녹용,New Zealand,1,1584.1
2023,10,Import,Dried deer velvet,녹용,Russia,4,2500.25
2023,10,Import,Frozen deer velvet,생녹용,New Zealand,1,5079
2023,11,Export,Dried deer velvet,녹용,USA,1,529
2023,11,Export,Deer velvet extract,녹용추출물,USA,1,25.65
2023,11,Import,Dried deer velvet,녹용,China,4,5361
2023,11,Import,Dried deer velvet,녹용,Hong Kong,3,4080
2023,11,Import,Dried deer velvet,녹용,New Zealand,2,2935.37
2023,11,Import,Dried deer velvet,녹용,Russia,7,6488.69
2023,11,Import,Frozen deer velvet,생녹용,New Zealand,1,300
2023,12,Export,Deer velvet extract,녹용추출물,USA,2,1174.4
2023,12,Import,Dried deer velvet,녹용,China,3,5990.7
2023,12,Import,Dried deer velvet,녹용,Kazakhstan,1,262.8
